avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
88.4,1110.0,-7.5,-28.2,6.9,10.7,1.8,26.4,"Bautista, Félix",2022,R,57.7,FS,7.7313356,-2.6705256,642585,https://baseballsavant.mlb.com/sporty-videos?playId=661818-3,https://baseballsavant.mlb.com/sporty-videos?playId=1bc72e18-2ba4-44aa-854b-4ce93f594c26
89.5,2069.0,3.1,-29.0,5.0,6.5,1.3,14.5,"Matz, Steven",2019,L,,SL,3.4256785,5.49058,571927,https://baseballsavant.mlb.com/sporty-videos?playId=566026-2,https://baseballsavant.mlb.com/sporty-videos?playId=8ddb4df9-d740-48c3-9e10-7b7306db2208
89.1,2528.0,4.3,-30.1,4.1,6.4,1.3,17.3,"Dollander, Chase",2025,R,28.1,FC,3.5439427,5.9589906,801403,https://baseballsavant.mlb.com/sporty-videos?playId=778352-1,https://baseballsavant.mlb.com/sporty-videos?playId=85cc7402-d0bd-395d-a4fd-548ea5ed1420
85.0,1188.0,6.4,-28.8,9.1,11.5,1.5,1.1,"Gilbreath, Lucas",2022,L,55.3,FS,3.885463,12.809443,656458,https://baseballsavant.mlb.com/sporty-videos?playId=662096-2,https://baseballsavant.mlb.com/sporty-videos?playId=fb4da59e-6d58-488c-97af-82e3af982386
84.2,2425.0,2.9,-37.2,1.2,5.1,1.4,29.1,"Pagán, Emilio",2017,R,,FC,1.4897152,5.8433642,641941,https://baseballsavant.mlb.com/sporty-videos?playId=491964-4,https://baseballsavant.mlb.com/sporty-videos?playId=c7e69624-6030-4ad5-a5e2-3f673e0e0f4f
93.1,2405.0,-16.4,-29.1,2.6,16.7,1.4,26.4,"Warren, Will",2024,R,25.0,SI,11.877095,2.793997,701542,https://baseballsavant.mlb.com/sporty-videos?playId=746759-3,https://baseballsavant.mlb.com/sporty-videos?playId=d8602566-1242-4b67-b16a-26561465bdf9
72.5,2206.0,-11.8,-61.2,-7.0,13.9,1.1,9.0,"LeBlanc, Wade",2018,L,,CU,-0.076636076,0.7778427,453281,https://baseballsavant.mlb.com/sporty-videos?playId=530685-2,https://baseballsavant.mlb.com/sporty-videos?playId=85181a0d-599a-4d1b-bd4b-49d5ba5f46ea
95.7,2442.0,-10.4,-13.4,16.5,19.5,1.6,0.6,"Kinley, Tyler",2024,R,45.0,SI,9.452655,4.393194,641755,https://baseballsavant.mlb.com/sporty-videos?playId=746574-1,https://baseballsavant.mlb.com/sporty-videos?playId=91c32d46-12ac-4db0-b2c3-790e1a71e447
91.2,2026.0,-12.4,-22.8,9.9,15.9,1.2,13.6,"Blackburn, Paul",2024,R,49.6,SI,11.026904,2.5455503,621112,https://baseballsavant.mlb.com/sporty-videos?playId=745264-3,https://baseballsavant.mlb.com/sporty-videos?playId=fa357afa-7b1a-462f-9a16-b7ce8375f233
95.5,2264.0,5.9,-12.8,17.4,18.4,1.0,48.8,"Gore, MacKenzie",2025,L,46.4,FF,9.772071,10.926135,669022,https://baseballsavant.mlb.com/sporty-videos?playId=777907-2,https://baseballsavant.mlb.com/sporty-videos?playId=cb6525a8-118e-3d6c-bef4-d8151e76724b
77.3,2750.0,-7.6,-57.5,-9.2,12.2,2.1,6.1,"Urías, Julio",2019,L,,CU,-0.6325096,1.3326079,628711,https://baseballsavant.mlb.com/sporty-videos?playId=567108-1,https://baseballsavant.mlb.com/sporty-videos?playId=30eb9789-1011-43d7-840b-768242709f97
90.1,2221.0,-6.9,-14.9,19.5,20.9,1.3,43.5,"Whitley, Chase",2017,R,,FF,13.003911,6.60868,595032,https://baseballsavant.mlb.com/sporty-videos?playId=490329-4,https://baseballsavant.mlb.com/sporty-videos?playId=9f45193e-f505-4d13-9bdc-9ce0290fb18e
89.0,1840.0,-15.7,-31.0,3.7,16.5,1.3,25.2,"Brazobán, Huascar",2022,R,36.7,CH,10.3080225,-0.82838976,623211,https://baseballsavant.mlb.com/sporty-videos?playId=661063-6,https://baseballsavant.mlb.com/sporty-videos?playId=17bf7eac-8e1b-4e4b-8823-678bc7572ff9
94.3,2185.0,-12.5,-20.4,10.0,16.9,1.2,25.6,"Ottavino, Adam",2017,R,,SI,12.140221,3.4614182,493603,https://baseballsavant.mlb.com/sporty-videos?playId=490520-2,https://baseballsavant.mlb.com/sporty-videos?playId=850fd79a-eb7a-486a-982d-0a5b1ffc5f1b
86.0,1798.0,-16.6,-29.9,6.9,18.2,1.5,0.5,"Duffey, Tyler",2019,R,,CH,9.334373,-0.052058753,608648,https://baseballsavant.mlb.com/sporty-videos?playId=564759-2,https://baseballsavant.mlb.com/sporty-videos?playId=12d84b64-41b2-40a9-9034-e42620b842d5
91.5,2210.0,-13.3,-19.7,13.2,18.8,1.5,0.5,"Brigham, Jeff",2022,R,35.6,FC,9.77494,3.2632213,656257,https://baseballsavant.mlb.com/sporty-videos?playId=662462-2,https://baseballsavant.mlb.com/sporty-videos?playId=22dfa050-5449-40fe-9748-63bb7a0cc1fe
84.9,1436.0,13.0,-31.2,6.9,15.0,2.5,24.6,"Manaea, Sean",2022,L,25.6,CH,4.2508044,11.350873,640455,https://baseballsavant.mlb.com/sporty-videos?playId=662270-6,https://baseballsavant.mlb.com/sporty-videos?playId=0406d7c1-766b-4f01-be3f-2d4ae9c9c796
96.8,2582.0,4.4,-13.7,15.6,16.3,1.2,45.4,"Scott, Tanner",2021,L,41.0,FF,10.534096,9.792886,656945,https://baseballsavant.mlb.com/sporty-videos?playId=633282-3,https://baseballsavant.mlb.com/sporty-videos?playId=e3203a00-1bc4-4709-98fc-d58fe536dc3c
96.3,1969.0,-6.6,-13.2,16.5,17.8,1.1,42.9,"Nelson, Nick",2022,R,46.0,FF,13.48261,6.1208353,656793,https://baseballsavant.mlb.com/sporty-videos?playId=661496-3,https://baseballsavant.mlb.com/sporty-videos?playId=b56cc4b5-9bd4-4c45-a633-d403e66538af
73.5,2775.0,-20.5,-57.7,-3.6,20.9,1.2,42.0,"Olson, Tyler",2019,L,,CU,-0.3959687,0.29731125,621397,https://baseballsavant.mlb.com/sporty-videos?playId=565711-1,https://baseballsavant.mlb.com/sporty-videos?playId=d46a6e28-ec13-4da1-96a8-35070a4e94fb
89.2,2105.0,5.9,-22.5,11.5,12.9,1.5,0.3,"Sabathia, CC",2017,L,,FF,6.005998,6.5410037,282332,https://baseballsavant.mlb.com/sporty-videos?playId=526503-4,https://baseballsavant.mlb.com/sporty-videos?playId=09ac5a65-7ad1-46b6-b630-e679cb217d55
95.0,2199.0,16.3,-20.8,10.7,19.7,1.4,25.6,"Peralta, Wandy",2019,L,,SI,7.6399984,10.89576,593974,https://baseballsavant.mlb.com/sporty-videos?playId=566549-4,https://baseballsavant.mlb.com/sporty-videos?playId=e8f0b989-11a2-41e0-8d61-a4b3d35fac95
74.2,2906.0,-18.5,-66.3,-14.5,23.6,2.1,43.5,"Hill, Rich",2019,L,,CU,-0.9150407,0.38603172,448179,https://baseballsavant.mlb.com/sporty-videos?playId=566291-8,https://baseballsavant.mlb.com/sporty-videos?playId=6b3b9a47-5577-437b-85d4-de7c03229965
94.1,2228.0,-2.7,-19.6,10.5,11.0,1.1,19.3,"Walden, Marcus",2019,R,,FF,5.0425324,6.435919,519393,https://baseballsavant.mlb.com/sporty-videos?playId=565079-1,https://baseballsavant.mlb.com/sporty-videos?playId=a853da0e-98fe-4112-bd3a-9347e15e19db
73.0,2524.0,11.3,-66.2,-13.9,18.1,1.9,17.9,"Maeda, Kenta",2016,R,,CU,-3.5213766,3.6467233,628317,https://baseballsavant.mlb.com/sporty-videos?playId=448052-2,https://baseballsavant.mlb.com/sporty-videos?playId=1fd93a45-4652-4142-8e45-e5a8e1ed037c
92.9,2245.0,-4.2,-15.5,16.5,17.3,1.4,57.9,"Cotham, Caleb",2016,R,,FF,13.020274,7.8118753,571584,https://baseballsavant.mlb.com/sporty-videos?playId=447476-6,https://baseballsavant.mlb.com/sporty-videos?playId=4f8b37c1-c317-463b-867c-e84b9aad7233
86.3,2196.0,-2.5,-30.7,5.9,6.8,1.4,23.9,"Allard, Kolby",2021,L,46.9,FC,3.2050009,5.7094803,663465,https://baseballsavant.mlb.com/sporty-videos?playId=634435-4,https://baseballsavant.mlb.com/sporty-videos?playId=3b5ecce4-b28b-4b22-9f83-472ce5bc47e4
89.1,1638.0,-12.6,-24.8,9.9,16.7,1.3,5.2,"Steckenrider, Drew",2017,R,,CH,9.07462,-0.72421795,608716,https://baseballsavant.mlb.com/sporty-videos?playId=492395-4,https://baseballsavant.mlb.com/sporty-videos?playId=2a56d3a8-48f3-4e10-a09b-5ddcb8167f7c
86.3,2136.0,-1.6,-31.3,6.7,7.6,1.7,27.0,"Peralta, Wandy",2017,L,,SL,3.0113385,4.7721524,593974,https://baseballsavant.mlb.com/sporty-videos?playId=491408-2,https://baseballsavant.mlb.com/sporty-videos?playId=6d6f42f4-edd2-4585-a69e-8a0c42a18fca
79.8,1861.0,-8.8,-34.1,9.7,13.4,1.7,25.8,"Hellickson, Jeremy",2019,R,,CH,8.63412,-1.2226363,476451,https://baseballsavant.mlb.com/sporty-videos?playId=565908-4,https://baseballsavant.mlb.com/sporty-videos?playId=621eeb5b-a963-4785-a352-f145930f2cec
88.8,1978.0,-14.4,-33.6,1.2,14.6,1.4,10.1,"Keller, Mitch",2025,R,37.4,CH,9.98759,-0.19806114,656605,https://baseballsavant.mlb.com/sporty-videos?playId=779035-1,https://baseballsavant.mlb.com/sporty-videos?playId=7aa42fea-6bd2-407e-8222-6d95e3310b91
